Transecto,T° Amb (°C),T° Agua (°C),Conduc (Us/cm),O2 disuel (ppm),pH,% E. Luz,% Humedad,Ancho m,Prof (cm),Vel (m/Seg),Caudal,Mes
T1I,28.4,24,0.22,6.8,7.6,50,68,2.8,13.68,0.0063918185,0.2490304754,Mayo
T1M,24,23,0.22,7,7,7.61,50,1.43,1.43,0.09345794,0.4628597701,Mayo
T1F,27,23,0.21,7.3,7.47,40,66,1.43,0.96,0.0446627959,0.3432,Mayo
T2I,29,25,0.23,6.4,7.89,30,62,1.65,6.18,0.0082392684,0.0821703656,Mayo
T2M,27,25,0.23,7.1,7.88,40,64,1.72,6.36,0.0211237854,0.2141791483,Mayo
T2F,28,25,0.22,6.5,7.85,60,54,1.74,3.14,0.054525627,0.2986933941,Mayo
T3I,27,23.5,0.21,7.7,8.1,10,63,1.42,5.86,0.0208159867,0.1682183288,Mayo
T3M,27,23,0.22,7.9,8.1,7,62,0.98,3.84,0.114416476,0.4631630769,Mayo
T3F,26,23,0.23,7.4,8.05,20,64,1.16,27.46,0.0077399381,0.249180704,Mayo
T4I,28.5,24,0.21,7.4,8.02,10,63,1.03,10.4,0.0331125828,0.3610786517,Mayo
T4M,28,24,0.21,7.8,8.03,70,73,0.78,33.84,0,0.263952,Mayo
T4F,27,24,0.22,7.8,8,40,74,0.61,14.92,0.0133868809,0.1293549686,Mayo
T5I,32,24,0.22,8,8.01,90,71,0.42,1.74,0.1724137931,0.1270956522,Mayo
T5M,25,24.5,0.22,7.7,6.33,7,83,2.35,10.08,0.0185185185,0.5573647059,Mayo
T5F,25,24,0.21,6.7,7.65,3,80,0.68,3.02,0.0263157895,0.0502922449,Mayo
T6I,26,25,0.22,7,7.95,20,72,0.4,4.9,0.0588235294,0.1202107317,Mayo
T6M,28,28,0.21,6.9,7.89,80,69,0.53,3.94,0.0934579439,0.210941704,Mayo
T6F,26,24,0.24,6.1,7.71,3,80,1.05,1.38,0.1265822785,0.2709016216,Mayo
T7I,28,24.5,0.22,4,7.82,67,72,1.35,11.5,0.0175438596,0.3089552239,Mayo
T7M,27,24,0,5.6,7.85,80,74,1.26,31.8,0.0095923261,0.3953266187,Mayo
T7F,26,24.5,0.22,5.35,7.86,80,79,2.64,38.6,0.0136986301,1.6414067114,Mayo
T8I,28,25.5,0.21,5.6,7.98,70,76,2.1,4.72,0.0069444444,0.0691534884,Mayo
T8M,31,25.5,0.27,5.3,7.86,98,77,1.05,1.32,0.0515463918,0.07392,Mayo
T8F,26,25.5,0.28,7.7,7.86,85,81,0.88,12.68,0.0714285714,0.7316983607,Mayo
T9I,24,25,0.29,6.3,7.74,88,90,1,6.4,0.0240963855,0.1581874356,Mayo
T9M,26,25.5,0.28,6,7.72,80,89,0.79,3.8,0.0214592275,0.0633110721,Mayo
T9F,25,25,0.21,6.6,7.73,48,91,0.96,2.34,0.0387596899,0.0886736842,Mayo
T10I,27,25,0.23,7.7,7.92,75,93,3.4,2.5,0.0374531835,0.315301391,Mayo
T10M,25,24.5,0.23,6.9,7.8,60,93,3.9,3.8,0.0087108014,0.1345234493,Mayo
T10F,25,24,0.23,7.2,7.86,55,94,3.8,5,0.0284900285,0.5735849057,Mayo
