Transecto,T° Amb (°C),T° Agua (°C),Conduc (Us/cm),O2 disuel (ppm),pH,% E. Luz,% Humedad,Ancho m,Prof (cm),Vel (m/Seg),Caudal,Mes,Sitio
T1I,21.5,22,0.13,7.6,7.75,90,97,1.71,11.2,0.1086956522,2.1084770642,Octubre,T1
T1M,21,22,0.12,6.3,7.8,20,97,1.45,8.1,0.0606060606,0.7274322581,Octubre,T1
T1F,21.5,22,0.14,6,7.96,10,97,1.65,6.14,0.2272727273,2.3379230769,Octubre,T1
T2I,25,24,0.11,8.1,8,42,92,1.07,3.82,0.3703703704,1.5571047619,Octubre,T2
T2M,24,24,0.11,7.9,8.4,60,87,1.9,8.8,0.2325581395,4.1369072165,Octubre,T2
T2F,24,24,0.11,7.7,8,10,94,1.71,9.1,0.1612903226,2.4250909091,Octubre,T2
T3I,24,22,0.12,8.28,8.08,65,93,3.23,8.4,0.067114094,1.9208495575,Octubre,T3
T3M,23,22.5,0.14,8.4,8.08,40,94,2.4,22.1,0.1492537313,7.6225149701,Octubre,T3
T3F,23,23,0.13,8.6,8.04,45,94,1.7,10.8,0.1851851852,3.7986206897,Octubre,T3
T4I,25,24,0.11,8.7,8.14,40,92,1.4,12.1,0.2036659878,3.5261058109,Octubre,T4
T4M,26,24,0.11,8.3,8,20,89,1.18,15,0.1535508637,2.7742040816,Octubre,T4
T4F,25.5,24,0.11,8.4,7.98,10,87,2.1,14.3,0.2369668246,7.3844262295,Octubre,T4
T5I,23,22.5,0.11,8.4,8.78,80,90,4.42,14.1,0.1077586207,6.7802719855,Octubre,T5
T5M,24,22,0.11,8.3,8.86,85,89,2.3,18.2,0.1639344262,7.0254545455,Octubre,T5
T5F,22,22,0.11,8.6,9.02,92,88,1.2,58,0.3058103976,21.3333333333,Octubre,T5
